"country","deficit_usd","deficit_gdp","source_currency","exchange_rate","conversion_date","source","revenue_source_url","spending_source_url","exchange_rate_source","exchange_rate_source_url"
"Denmark",2465816917.72885,0.699999999999996,"Euro",0.863,"09/30/2018","Eurostat","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Estonia",-296407879.49015,-1,"Euro",0.863,"09/30/2018","Eurostat","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Finland",-3332560834.29896,-1.2,"Euro",0.863,"09/30/2018","Eurostat","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"France",-79292004634.9942,-2.9,"Euro",0.863,"09/30/2018","Eurostat","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Germany",24096176129.7798,0.6,"Euro",0.863,"09/30/2018","Eurostat","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Greece",-2448435689.4554,-1.2,"Euro",0.863,"09/30/2018","Eurostat","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Hungary",-3693395133.25608,-2.4,"Euro",0.863,"09/30/2018","Eurostat","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Ireland",334183082.271149,0.0999999999999979,"Euro",0.863,"09/30/2018","Eurostat","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Italy",-52293163383.5458,-2.6,"Euro",0.863,"09/30/2018","Eurostat","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Latvia",-337775202.780997,-1,"Euro",0.863,"09/30/2018","Eurostat","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Lithuania",-4410892236.3847,-8.4,"Euro",0.863,"09/30/2018","Eurostat","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Luxembourg",611703360.3708,0.900000000000002,"Euro",0.863,"09/30/2018","Eurostat","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Malta",278794901.506372,1.9,"Euro",0.863,"09/30/2018","Eurostat","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Netherlands",6815758980.30127,0.800000000000001,"Euro",0.863,"09/30/2018","Eurostat","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Norway",35651216685.9792,8.4,"Euro",0.863,"09/30/2018","Eurostat","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Poland",-3171031286.21089,-0.600000000000001,"Euro",0.863,"09/30/2018","Eurostat","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Portugal",-3766048667.43916,-1.6,"Euro",0.863,"09/30/2018","Eurostat","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
