"country","spending_usd","spending_gdp","source_currency","exchange_rate","conversion_date","source","source_url","exchange_rate_source","exchange_rate_source_url"
"Thailand",101100463678.516,20,"Baht",32.35,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Timor-Leste",1282600000,46.7,"Leste Dili",1,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Turkey",204955104755.57,33.1,"Lira",6.014,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Uganda",4916335078.53403,17.8,"Shilling",3820,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Ukraine",42967412389.3805,34.1,"Hryvnia",28.25,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"United Arab Emirates",17878763953.1718,4.2,"Dirham",3.673,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"United States",4107741496584.31,20.1667321091679,"Dollar",1,"09/30/2018","Bureau of the Fiscal Service","https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Uruguay",20273835408.4422,36.5,"Peso",32.93,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Uzbekistan",9753786764.70588,19.6,"Som",8160,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Western Samoa",289606339.144216,33.1,"Tala",2.524,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Austria",140978447276.941,31.6,"Euro",0.863,"09/30/2018","Eurostat","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Belgium",141619003476.246,26.5,"Euro",0.863,"09/30/2018","Eurostat","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Bulgaria",15430822711.4716,23.7,"Euro",0.863,"09/30/2018","Eurostat","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Croatia",17477983777.5203,29,"Euro",0.863,"09/30/2018","Eurostat","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Cyprus",8807415990.73001,35.5,"Euro",0.863,"09/30/2018","Eurostat","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
